festival_list_link,festival_list_link-href,event_name,event_dates,event_cost,event_description,event_date_time,event_location_name,event_location_address,event_venue_html
"The Roswell Lavender Festival","https://atlantaplanit.wabe.org/events/the-roswell-lavender-festival/","The Roswell Lavender Festival","Jun 10","null","The Annual Roswell Lavender Festival is inspired by Roswell's Barrington Hall’s own lavender queen, Evelyn Simpson, a descendant of Barrington. The festival is a celebration of all things lavender and will feature the many varieties, uses and folk remedies associated with this ancient plant.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 10</td><td>10am – 5pm</td></tr></tbody></table></dd>","Barrington Hall","535 Barrington Dr.
ROSWELL, GA 30075","<h3>Location</h3>
				<header class=""entry-header"">
					Barrington Hall				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>535 Barrington Dr.<br>ROSWELL, GA 30075</span></dd></dl>				<dl class=""pi-field roswellgovcomindexaspxnid218-"" title=""roswellgov.com/index.aspx?nid=218 ""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://roswellgov.com/index.aspx?nid=218%20"">roswellgov.com/index.aspx?nid=218 </a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:rwinebarger@roswellgov.com"">rwinebarger@roswellgov.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-640-3855"">770-640-3855</a></span></dd></dl>"
"Georgia Renaissance Festival","https://atlantaplanit.wabe.org/events/georgia-renaissance-festival/","Georgia Renaissance Festival","Apr 15 – Jun 4","Adults","The annual festival returns for its 31st year with weeks of family entertainment, Renaissance culture, games, an artisan market, food and drink, and so much more. 





Themed Weekends:


April 15 & 16: Opening Weekend


April 22 & 23: Cosplay, Pet Friendly and College Weekend


April 29 & 30: Kids Free Weekend


May 6 & 7: Maytoberfest Weekend


May 13 & 14: Highland Fling Weekend


May 20 & 21: Pirates Plunder Weekend


May 27, 28 & 29: Memorial Day Weekend


June 3 & 4: Romance Weekend","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10:30am – 6pm</td></tr></tbody></table></dd>","Georgia Renaissance Festival","6905 Virlyn B. Smith Rd.
FAIRBURN, GA 30213","<h3>Location</h3>
				<header class=""entry-header"">
					Georgia Renaissance Festival				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>6905 Virlyn B. Smith Rd.<br>FAIRBURN, GA 30213</span></dd></dl>				<dl class=""pi-field wwwgeorgiarenaissancefestivalcom"" title=""www.georgiarenaissancefestival.com/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.georgiarenaissancefestival.com/"">www.georgiarenaissancefestival.com/</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@garenfest.com"">info@garenfest.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-964-8575"">770-964-8575</a></span></dd></dl>"
"Taste Of Soul Atlanta: Food & Music Festival","https://atlantaplanit.wabe.org/events/taste-of-soul-atlanta-food-music-festival/","Taste Of Soul Atlanta: Food & Music Festival","Sep 2","Free","Taste of Soul Atlanta is a soul food and music festival on Atlanta's Westside near Morris Brown College. Music lineup to be announced.





This event takes place at:


Northside Dr. SW & MLK Jr. Dr. SW


Atlanta, GA 30313","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Sep 2</td><td>11am – 9pm</td></tr></tbody></table></dd>","Atlanta","ATLANTA, GA","<h3>Location</h3>
				<header class=""entry-header"">
					Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>ATLANTA, GA</span></dd></dl>"
"Atlanta Hot And Spicy Festival","https://atlantaplanit.wabe.org/events/atlanta-hot-and-spicy-festival/","Atlanta Hot And Spicy Festival","Nov 4","null","A deliciously tasty food and beer festival. Restaurants from all over the Southeast will showcase their spicy and flavorful foods in a tasting competition for charity. Or cool off your taste buds at the Samuel Adams Beer Garden with a cold, refreshing brew and enjoy live, local music all day long!





The featured event of The Atlanta Hot and Spicy Festival is a friendly Chef's Tasting Competition  from 12:20 to 2:30 p.m. between local restaurants competing for a $2,000 prize to be donated to a charity of their choice.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Nov 4</td><td>12pm – 6pm</td></tr></tbody></table></dd>","Brookhaven Park","2660 Osborne Rd.
BROOKHAVEN, GA 30319","<h3>Location</h3>
				<header class=""entry-header"">
					Brookhaven Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>2660 Osborne Rd.<br>BROOKHAVEN, GA 30319</span></dd></dl>"
"Stone Mountain Park Memorial Day Weekend","https://atlantaplanit.wabe.org/events/stone-mountain-park-memorial-day-weekend/","Stone Mountain Park Memorial Day Weekend","May 26 – May 29","null","Join Stone Mountain Park for a special salute to the troops, extended fireworks finale, and the Lasershow Spectacular in Mountainvision® with jaw dropping fire effects now for four nights! Marvel as the skies above light up in a specially choreographed musical tribute honoring the brave men and women who protect our country.





Enjoy exciting attractions including, SkyHike®, one of the nation’s largest adventure ropes courses,  Geyser Towers®, a one-of-a-kind water adventure,  Summit Skyride, where you can soar to the top of the mountain for unprecedented views of the city, Ride The Ducks™, where you can tour the Park in a splashy way…the adventures are endless!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Boo At The Zoo","https://atlantaplanit.wabe.org/events/boo-at-the-zoo/","Boo At The Zoo","Oct 21 – Oct 29","null","It’s that time of year when Atlanta’s favorite fun family Halloween festival returns. Sample treats, and enjoy the sights, characters and adventures of the whimsical Zoo Boo Town on five magical days with more than 1,500 animals from around the world. Don’t forget your costume!","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>9:30am – 3pm</td></tr></tbody></table></dd>","Zoo Atlanta","800 Cherokee Ave. SE
ATLANTA, GA 30315","<h3>Location</h3>
				<header class=""entry-header"">
					Zoo Atlanta				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>800 Cherokee Ave. SE<br>ATLANTA, GA 30315</span></dd></dl>				<dl class=""pi-field wwwzooatlantaorg"" title=""www.zooatlanta.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.zooatlanta.org"">www.zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:labrown@zooatlanta.org"">labrown@zooatlanta.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-624-9453"">404-624-9453</a></span></dd></dl>"
"Marietta International Film Festival","https://atlantaplanit.wabe.org/events/marietta-international-film-festival/","Marietta International Film Festival","Sep 9 – Sep 10","null","Held in the Earl Smith Strand Theater on beautiful Marietta Square each year, this festival is an opportunity for film makers of all levels to share their work. In 2016, the Marietta International Film Festival began a partnership with Film Racing and includes the screenings and Awards Gala for the 24 Hour Film Race as part of the festival. Beginning with the 2017 Festival, the MIFF will begin a partnership with the Chinese American Film Festival and will be the East Coast hub for screenings of the winning Chinese films.","null","The Strand Theatre","117 North Park Square
MARIETTA, GA 30060","<h3>Location</h3>
				<header class=""entry-header"">
					The Strand Theatre				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>117 North Park Square<br>MARIETTA, GA 30060</span></dd></dl>				<dl class=""pi-field wwwearlsmithstrandorg"" title=""www.earlsmithstrand.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.earlsmithstrand.org"">www.earlsmithstrand.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:friends@earlsmithstrand.org"">friends@earlsmithstrand.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-293-0080"">770-293-0080</a></span></dd></dl>"
"Grant Park Summer Shade Festival","https://atlantaplanit.wabe.org/events/grant-park-summer-shade-festival/","Grant Park Summer Shade Festival","Aug 26 – Aug 27","null","For more than a decade, Atlanta art and music lovers have flocked to Grant Park each August to bid adieu to summer at the Summer Shade Festival. It’s two days of outdoor fun planned for all ages including a 5K Run for the Park, food trucks, craft beer, an entertaining Kids Zone and a music line up that just gets better every year. And don’t miss the Sunday morning Grant Park Farmers Market.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Aug 26</td><td>10am – 10pm</td></tr><tr><td>Sun, Aug 27</td><td>11am – 7:30pm</td></tr></tbody></table></dd>","Grant Park","800 Cherokee Ave. SE
ATLANTA, GA 30315","<h3>Location</h3>
				<header class=""entry-header"">
					Grant Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>800 Cherokee Ave. SE<br>ATLANTA, GA 30315</span></dd></dl>				<dl class=""pi-field gpconservancyorg"" title=""gpconservancy.org/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://gpconservancy.org/"">gpconservancy.org/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-521-0938"">404-521-0938</a></span></dd></dl>"
"Decatur Beach Party","https://atlantaplanit.wabe.org/events/decatur-beach-party/","Decatur Beach Party","Jun 17","null","No beach? No problem! Decatur makes its own with 60 tons of sand – transforming the square into Sandcastle Central. Add a kid’s boardwalk, live music and dancing on the plaza, a food court with funnel cakes and fruity drinks, and voilà — you’re in a beach town, Decatur-style, without the sunburn and hours of driving.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 17</td><td>5pm – 11pm</td></tr></tbody></table></dd>","Decatur Square","W. Ponce de Leon Ave. and Church St.
DECATUR, GA 30030","<h3>Location</h3>
				<header class=""entry-header"">
					Decatur Square				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>W. Ponce de Leon Ave. and Church St.<br>DECATUR, GA 30030</span></dd></dl>				<dl class=""pi-field wwwdecaturgacom"" title=""www.decaturga.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.decaturga.com"">www.decaturga.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@decaturga.com"">info@decaturga.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-370-4100"">404-370-4100</a></span></dd></dl>"
"Little Five Arts Alive","https://atlantaplanit.wabe.org/events/little-five-arts-alive/","Little Five Arts Alive","Apr 22 – Nov 5","null","Building upon the success of the 2016 program, Little Five Arts Alive, a free weekly series of outdoor arts events, returns to the heart of Little Five Points! This year’s programming will again highlight a wide variety of artists -- music, dance, theatre, visual arts, crafts, circus, performance art and more.    They're mixing it up with lots of surprises for Little Five Points neighbors and visitors, including chances to be both spectators and participants. Every Saturday and Sunday from 5 to 8 p.m.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>5pm – 8pm</td></tr></tbody></table></dd>","Little Five Points","Moreland Ave. NE & Euclid Ave. NE
ATLANTA, GA 30307","<h3>Location</h3>
				<header class=""entry-header"">
					Little Five Points				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>Moreland Ave. NE &amp; Euclid Ave. NE<br>ATLANTA, GA 30307</span></dd></dl>				<dl class=""pi-field wwwlittlefivepointsnet"" title=""www.littlefivepoints.net/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.littlefivepoints.net/"">www.littlefivepoints.net/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-577-4212"">404-577-4212</a></span></dd></dl>"
"Atlanta Greek Festival","https://atlantaplanit.wabe.org/events/atlanta-greek-festival/","Atlanta Greek Festival","Sep 28 – Oct 1","null","All the magic of Athens… Just miles from home!  The Atlanta Greek Festival brings all the aromas, sounds, tastes and traditions of Greece to your doorstep. Your admission ticket becomes your passport as you enjoy all the Beauty of Santorini and the Fun of Mykonos.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Thu, Sep 28<br>Fri, Sep 29</td><td>5pm – 11pm</td></tr><tr><td>Sat, Sep 30</td><td>11am – 11pm</td></tr><tr><td>Sun, Oct 1</td><td>11am – 7pm</td></tr></tbody></table></dd>","Greek Orthodox Church","2500 Clairmont Rd. NE
ATLANTA, GA 30329","<h3>Location</h3>
				<header class=""entry-header"">
					Greek Orthodox Church				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>2500 Clairmont Rd. NE<br>ATLANTA, GA 30329</span></dd></dl>"
"Old Fourth Ward Park Arts Festival","https://atlantaplanit.wabe.org/events/old-fourth-ward-park-arts-festival/","Old Fourth Ward Park Arts Festival","Jun 24 – Jun 25","null","The Old Fourth Ward Park Arts Festival is a two-day celebration of community and tradition for people of all ages, customs and interests. The festival is a major celebration of the arts while honoring the rich history of this community. Festival goers are invited to explore painting, photography, ceramics, glass, jewelry, woodwork, handcrafted items and an Emerging Artists Pavilion along the park’s winding paved path with the beautiful pond and amphitheater as a backdrop. The festival also features live music in the amphitheater, local food vendors, drinks, a children’s area, hands-on art demonstrations, games and much more.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sat, Jun 24</td><td>10am – 5pm</td></tr><tr><td>Sun, Jun 25</td><td>11am – 5pm</td></tr></tbody></table></dd>","Old Fourth Ward Park","592 N. Angier Ave. NE
ATLANTA, GA 30308","<h3>Location</h3>
				<header class=""entry-header"">
					Old Fourth Ward Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>592 N. Angier Ave. NE<br>ATLANTA, GA 30308</span></dd></dl>				<dl class=""pi-field wwwh4wpccomindexhtm"" title=""www.h4wpc.com/index.htm""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.h4wpc.com/index.htm"">www.h4wpc.com/index.htm</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:h4wpcinfo@gmail.com"">h4wpcinfo@gmail.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-590-7275"">404-590-7275</a></span></dd></dl>"
"Atlanta Moon Ride","https://atlantaplanit.wabe.org/events/atlanta-moon-ride/","Atlanta Moon Ride","Jun 9","null","The Atlanta Moon Ride is back for its fifth annual ride. The festivities include a fun, safe, 6-mile bike ride through some of Atlanta's coolest neighborhoods. Featuring after-dark antics, participants are encouraged to ride with flair - dressing in costumes, decorative helmets, glow sticks, bullhorns - anything goes. The nighttime cruise will start and end at Piedmont Park, safely taking participants on a scenic and traffic-free route through Midtown, Ansley Park, Historic Old Fourth Ward, Morningside and the Virginia Highland neighborhoods. Tickets start from $30 and include an official Atlanta Moon Ride t-shirt as well as entry to the kick-off party starting at 7 p.m.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, Jun 9</td><td>7pm – 11pm</td></tr></tbody></table></dd>","Piedmont Park","1071 Piedmont Ave.
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					Piedmont Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1071 Piedmont Ave.<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwpiedmontparkorg"" title=""www.piedmontpark.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.piedmontpark.org"">www.piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:info@piedmontpark.org"">info@piedmontpark.org</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-875-7275"">404-875-7275</a></span></dd></dl>"
"Fantastic Fourth Celebration","https://atlantaplanit.wabe.org/events/fantastic-fourth-celebration/","Fantastic Fourth Celebration","Jul 1 – Jul 4","null","Experience the Lasershow Spectacular in Mountainvision®, a not-to-be-missed Atlanta tradition that promises to wow your family with state-of-the-art digital graphics and awe-inspiring effects. The Lasershow Spectacular in Mountainvision®, features iconic music, epic fireworks and  jaw-dropping fire effects.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10am – 10pm</td></tr></tbody></table></dd>","Stone Mountain Park","U.S. Highway 78 East
Exit 8
STONE MOUNTAIN, GA 30087","<h3>Location</h3>
				<header class=""entry-header"">
					Stone Mountain Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>U.S. Highway 78 East<br>Exit 8<br>STONE MOUNTAIN, GA 30087</span></dd></dl>				<dl class=""pi-field wwwstonemountainparkcom"" title=""www.stonemountainpark.com""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.stonemountainpark.com"">www.stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field email"" title=""Email""><dt></dt><dd><i class=""fa fa-envelope-o"" aria-hidden=""true""></i><span><a class=""email"" rel=""noindex nofollow"" href=""mailto:jjones@stonemountainpark.com"">jjones@stonemountainpark.com</a></span></dd></dl>				<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-498-5690"">770-498-5690</a></span></dd></dl>"
"Atlanta Streets Alive: Central","https://atlantaplanit.wabe.org/events/atlanta-streets-alive-central/","Atlanta Streets Alive: Central","Sep 24","Free","The streets of Atlanta come to life on Sept. 24 from 2 p.m. to 6 p.m. as Peachtree Street is opened to people on foot, bike, and other human-powered activities, and closed to motorized traffic. 





Participants can expect a wealth of activities hosted by community organizations and businesses. Community groups and businesses can get involved by: extending business onto the sidewalk by setting up cafe tables or displays and serving guests and customers; planning or sponsoring an activity that activates the space in front of their business; volunteering to help run the event or becoming a sponsor of the event.





The route follows Peachtree Street from the heart of Downtown to the heart of Midtown. The full map route is available at atlantastreetsalive.com/dates.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Sun, Sep 24</td><td>2pm – 6pm</td></tr></tbody></table></dd>","The Woodruff Arts Center","1280 Peachtree St. NE
ATLANTA, GA 30309","<h3>Location</h3>
				<header class=""entry-header"">
					The Woodruff Arts Center				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>1280 Peachtree St. NE<br>ATLANTA, GA 30309</span></dd></dl>				<dl class=""pi-field wwwwoodruffcenterorg"" title=""www.woodruffcenter.org""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.woodruffcenter.org"">www.woodruffcenter.org</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-733-4200"">404-733-4200</a></span></dd></dl>"
"Coca-Cola® July 4th Fest","https://atlantaplanit.wabe.org/events/coca-cola-july-4th-fest/","Coca-Cola® July 4th Fest","Jul 2 – Jul 4","General Admission","July 2 through July 4, visitors can head to Six Flags to celebrate the country, enjoy the summer and share great times with friends. Each night, Six Flags Over Georgia will be honoring the annual Independence Day tradition with an amazing fireworks show. Be sure to get a spot early in the Cotton States Exposition district near the American Scream Machine and Sky Coaster for the best view.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Every </td><td>10:30am – 10pm</td></tr></tbody></table></dd>","Six Flags Over Georgia","275 Riverside Pkwy.","<h3>Location</h3>
				<header class=""entry-header"">
					Six Flags Over Georgia				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>275 Riverside Pkwy.</span></dd></dl>				<dl class=""pi-field wwwsixflagscomparksovergeorgia"" title=""www.sixflags.com/parks/overgeorgia/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://www.sixflags.com/parks/overgeorgia/"">www.sixflags.com/parks/overgeorgia/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:770-948-9290"">770-948-9290</a></span></dd></dl>"
"Pick’n In Grant Park","https://atlantaplanit.wabe.org/events/pickn-in-grant-park/","Pick’n In Grant Park","May 12 – May 13","null","The Grant Park Conservancy is please to bring back, Pick'n in Grant Park BBQ and Music Festival for a second year.","<dt>Date and Time</dt><dd><table class=""times""><tbody><tr><th>Days</th><th>Time</th></tr><tr></tr><tr style=""display:none""><td></td><td></td></tr><tr><td>Fri, May 12</td><td>5pm – 10pm</td></tr><tr><td>Sat, May 13</td><td>12pm – 10pm</td></tr></tbody></table></dd>","Grant Park","800 Cherokee Ave. SE
ATLANTA, GA 30315","<h3>Location</h3>
				<header class=""entry-header"">
					Grant Park				</header>
				<dl class=""pi-field address"" title=""Address""><dt></dt><dd><i class=""fa fa-map-marker"" aria-hidden=""true""></i><span>800 Cherokee Ave. SE<br>ATLANTA, GA 30315</span></dd></dl>				<dl class=""pi-field gpconservancyorg"" title=""gpconservancy.org/""><dt></dt><dd><i class=""fa fa-external-link"" aria-hidden=""true""></i><span><a target=""_blank"" rel=""noindex nofollow"" href=""http://gpconservancy.org/"">gpconservancy.org/</a></span></dd></dl>								<dl class=""pi-field phone"" title=""Phone""><dt></dt><dd><i class=""fa fa-phone"" aria-hidden=""true""></i><span><a class=""phone"" rel=""noindex nofollow"" href=""tel:404-521-0938"">404-521-0938</a></span></dd></dl>"
