alphabet_links,alphabet_links-href,venue_link,venue_link-href,venue_name,venue_phone,venue_website,venue_description,accessibility_table,parking_information,venue_email,venue_address,venue_image-src
"N","https://atlantaplanit.wabe.org/venues/N/","Nash Farm Battlefield","https://atlantaplanit.wabe.org/venues/nash-farm-battlefield-2/","Nash Farm Battlefield","770-288-7308","100 Babbs Mill Rd.
HAMPTON, GA 30228","Nash Farm was occupied from the 1840s until 1941 by members of the Nash family. During the second half of 1864 the property was the scene of considerable military activity, including Kilpatrick's Raid and infantry battles that marked the end of the Atlanta Campaign. The 204-acre battlefield was also used as the campsite for Confederate General Stephen Dill Lee's Army Corps. The museum and park focus on agricultural practices and rural life in the 19th and early 20th centuries as well as the military activity that took place on the property during the Civil War.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","Parking is available along Babbs Mill Rd., which runs directly beside the farm.","nashfarmbattlefieldmuseum@gmail.com","100 Babbs Mill Rd.
HAMPTON, GA 30228","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Nash_Farm_-_Exterior.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Alliance Theatre, Black Box Theatre","https://atlantaplanit.wabe.org/venues/alliance-theatre-black-box-theatre/","Alliance Theatre, Black Box Theatre","404-733-5000","1280 Peachtree St. NE
ATLANTA, GA 30309","The Black Box Theatre is the Alliance's venue for ""Theatre for the Very Young,"" among other productions. The Black Box Theatre is located on the third floor of the Woodruff Arts Center. Once on the third floor, follow the signs to the Black Box Theatre.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Parking is available at the following locations: (most event parking is $15 or less) Woodruff Arts Center Parking Garage, located on Arts Center Way between 15th Street and 16th Street Promenade Garage, located on 15th Street at the intersection of 15th Street and Arts Center Way Colony Square, located at 14th Street and Peachtree Street Midtown Plaza Parking Deck, located on Arts Center Way between 16th Street and West Peachtree Street","allianceinfo@woodruffcenter.org","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Alliance_Theatre.jpg"
"E","https://atlantaplanit.wabe.org/venues/E/","Emory’s White Hall","https://atlantaplanit.wabe.org/venues/emorys-white-hall/","Emory’s White Hall","404-727-6123","480 Kilgo Circle NE
ATLANTA, GA 30322","White Hall houses Room 208, the largest classroom on the Emory University campus with a capacity for 280 in stadium-style seating, as well as Room 205, which often hosts film screenings.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available in the Oxford Road Deck just past the Barnes & Noble at Emory bookstore. From the Oxford Road Deck, walk through the plaza and up the stairs between the B. Jones Building and the Mathematics and Science Center. Cross Dowman Drive, and White Hall is on the left. Parking is free in the Oxford Road Deck after 7 p.m.","null","480 Kilgo Circle NE
ATLANTA, GA 30322","https://atlantaplanit.wabe.org/wp-content/uploads/2017/01/Arts__EM_-_White_Hall.jpg"
"S","https://atlantaplanit.wabe.org/venues/S/","Synchronicity Theatre","https://atlantaplanit.wabe.org/venues/synchronicity-theatre/","Synchronicity Theatre","404-484-8636","1545 Peachtree St. NE
ATLANTA, GA 30309","Synchronicity Theatre found in a permanent venue home in 2014 at the Peachtree Pointe building. It is a 140-seat theater right in the heart of the Midtown on Peachtree Street.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Convenient theater parking is available. MARTA: Take the Red/Gold Line to the Arts Center Station. Exit onto West Peachtree Street and walk north. Turn left onto Peachtree Street NE, and the theatre will be on your right in the Peachtree Promendade office building. It is about a 20 minute walk from the MARTA station.","boxoffice@synchrotheatre.com","1545 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Synchronicity.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Atlantic Station","https://atlantaplanit.wabe.org/venues/atlantic-station/","Atlantic Station","404-410-4010","171 17th St.
ATLANTA, GA 30363","Divided into three sections: The District, The Commons and The Village





The District: Serving as the heart of the 138-acre redevelopment and located along a mile of interstate frontage, The District consists of one million square feet of open-air retail and entertainment, including six mixed-use retail buildings with entertainment, shops and restaurants. 





The Commons: This mix of apartment buildings, town homes and high-rise condominium towers offer an opportunity to live in close proximity to Atlantic Station's retail and office districts.





The Village: Anchored by the first IKEA store in the Southeast, with residential homes across the street, The Village provides a great place to live and shop and serves as the neighborhood's meeting place.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorYes","There is a three-story parking facility located underneath The District, and metered street parking is also available throughout The District. MARTA: The Atlantic Station free ride shuttle leaves from the Arts Center Station and is no cost to riders. The shuttle runs along the 17th Street bus-only lane from the Arts Center Station to The Flats and IKEA - making stops at the designated MARTA bus stops in addition to other stops. The shuttle leaves every 15 to 30 minutes daily from 5 a.m. to 1 a.m. Please note that the shuttle no longer enters the retail district.","info@atlanticstation.com","171 17th St.
ATLANTA, GA 30363","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Atlantic_Station.jpg"
"W","https://atlantaplanit.wabe.org/venues/W/","Woodruff Arts Center, Rich Theatre","https://atlantaplanit.wabe.org/venues/woodruff-arts-center-rich-theatre/","Woodruff Arts Center, Rich Theatre","404-733-5000","1280 Peachtree St. NE
ATLANTA, GA 30309","This Art Deco-style theatre hosts a variety of events at The Woodruff Arts Center.","MARTA AccessibleYesHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","A variety of street and deck parking is available in the area. - The Woodruff Arts Center Parking Garage, located on Arts Center Way between 15th Street and 16th Street - Promenade Garage, located on 15th Street at the intersection of 15th Street and Arts Center Way - Colony Square, located at 14th Street and Peachtree Street - Midtown Plaza Parking Deck, located on Arts Center Way between 16th Street and West Peachtree Street MARTA: Take the Red or Gold Line to the Arts Center Station, and follow the signs to The Woodruff Arts Center.","info@woodruffcenter.org","1280 Peachtree St. NE
ATLANTA, GA 30309","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Woodruff.jpg"
"T","https://atlantaplanit.wabe.org/venues/T/","Thomas Deans Fine Art","https://atlantaplanit.wabe.org/venues/thomas-deans-fine-art/","Thomas Deans Fine Art","404-814-1811","690 Miami Circle NE
Suite 905
ATLANTA, GA 30324","Since 1983, Thomas Deans Fine Art has presented fine works of art dating from 1750 to the contemporary. The art showcased includes paintings, drawings, prints, photography and watercolors. The gallery's inventory consists of works by British, American and European artists. The gallery offers seriously researched and authenticated works to appeal to a wide range of buyers — from individuals with very limited budgets to serious collectors and institutions.","MARTA AccessibleYesHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Parking is available at the gallery. MARTA: Take MARTA to Lindbergh Center Station. Out of the station walk north on Lindbergh Lane, and turn right on Sidney Marcus Boulevard. Make a left on Piedmont Road, and turn right on Miami Circle to reach the gallery.","tdeansco@aol.com","690 Miami Circle NE
Suite 905
ATLANTA, GA 30324","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/ThomasDeansArt_-_Interior_-_NEW.jpg"
"A","https://atlantaplanit.wabe.org/venues/A/","Act 3 Playhouse","https://atlantaplanit.wabe.org/venues/act-3-playhouse/","Act 3 Playhouse","770-241-1905","6285-R Roswell Rd. NE
ATLANTA, GA 30328","Act 3 Playhouse is located in the back of Sandy Springs Plaza behind Trader Joe's.","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","act3productions@aol.com","6285-R Roswell Rd. NE
ATLANTA, GA 30328","https://atlantaplanit.wabe.org/wp-content/uploads/2016/07/Act_3_LogoNEW.jpg"
"B","https://atlantaplanit.wabe.org/venues/B/","Ballethnic Dance Studios","https://atlantaplanit.wabe.org/venues/ballethnic-dance-studios/","Ballethnic Dance Studios","404-762-1416","2587 Cheney St.
EAST POINT, GA 30344","Founded in 1990 by Nena Gilreath and Waverly T. Lucas II, both former members of Dance Theatre of Harlem and Atlanta Ballet, Ballethnic's goal is to inform, educate and entertain through dance. It is increasing artistic opportunities and outlets for the community and enhancing cultural diversity through its classically trained, diverse performing company and professional training academy for children and adults. Its mission is to involve the community, especially youth and those who are financially disadvantaged, in an appreciation of this unique art form.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free parking is available.","karenid@ballethnic.org","2587 Cheney St.
EAST POINT, GA 30344","https://atlantaplanit.wabe.org/wp-content/uploads/2017/04/Ballethnic.jpg"
"C","https://atlantaplanit.wabe.org/venues/C/","Castleberry Hill Neighborhood","https://atlantaplanit.wabe.org/venues/castleberry-hill-neighborhood/","Castleberry Hill Neighborhood","null","Peters St. SW and Walker St. SW
ATLANTA, GA 30313","Castleberry Hill is a neighborhood in central Atlanta, located southwest of the Central Business District. It has been a federally recognized historic district since 1985 and became a City of Atlanta Landmark District in 2006. A designated landmark district helps preserve the neighborhood from overzealous developers. The area also contains the Castleberry Hill Historic Art District.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorYes","Several parking lots are available in the area. MARTA: Take the South Line to the Garnett Street stop. Take the escalators up to Trinity Avenue, walk left, cross Spring Street, and you will be on Peters Street. Take just a short walk up the street, and you are in the Castleberry Hill Neighborhood.","null","Peters St. SW and Walker St. SW
ATLANTA, GA 30313","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Castleberry_HIll.jpg"
"J","https://atlantaplanit.wabe.org/venues/J/","Jim R. Miller Park","https://atlantaplanit.wabe.org/venues/jim-r-miller-park/","Jim R. Miller Park","770-528-8875","2245 Callaway Rd.
MARIETTA, GA 30008","Jim Miller Park offers facilities that are available to host major events, concert, trade show, rodeo and festivals. 2 multi-use buildings, pond, equestrian ring, market plaza, cross country track.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Take I-75 to Windy Hill Road, exit 260. Go west approximately five miles until Windy Hill dead ends and turn left on Austell Road. Turn right on Callaway Road. Jim R. Miller Park will be on your right.","george.davis@cobbcounty.org","2245 Callaway Rd.
MARIETTA, GA 30008","https://atlantaplanit.wabe.org/wp-content/uploads/2016/09/Jim-R.-Miller-Park.jpg"
"Z","https://atlantaplanit.wabe.org/venues/Z/","Zion Hill Missionary Baptist Church","https://atlantaplanit.wabe.org/venues/zion-hill-missionary-baptist-church/","Zion Hill Missionary Baptist Church","770-974-8221","4255 Taylor Street
ACWORTH, GA 30301","null","MARTA AccessibleNoHandicapped AccessibleYesHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","null","null","4255 Taylor Street
ACWORTH, GA 30301","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/DEFAULTvenue.jpg"
"V","https://atlantaplanit.wabe.org/venues/V/","Vinings Gallery, Historic Roswell","https://atlantaplanit.wabe.org/venues/vinings-gallery-roswell/","Vinings Gallery, Historic Roswell","770-299-1122","10 Elizabeth Way
ROSWELL, GA 30075","Like the impressive mix of nationally recognized and emerging artists featured on its walls, Vinings Gallery is a true original — a place where a passion and enthusiasm for great art is contagious. The gallery is located in the Historic District of Roswell.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorNoOutdoorNo","Free parking in lots and on the street is available near the gallery.","mary@viningsgallery.com","10 Elizabeth Way
ROSWELL, GA 30075","https://atlantaplanit.wabe.org/wp-content/uploads/2016/06/Vinings_Gallery_-_Roswell_Building.jpg"
"D","https://atlantaplanit.wabe.org/venues/D/","dk Gallery","https://atlantaplanit.wabe.org/venues/dk-gallery/","dk Gallery","770-427-5377","25 West Park Square
MARIETTA, GA 30060","dk Gallery is housed in a late 1800s storefront on the Marietta Square. The space has been renovated to maintain the aesthetic interest and charm of its glory days, creating a unique and welcoming ambience for discovering original works of art.","MARTA AccessibleNoHandicapped AccessibleNoHearing Impaired AccessibleNoVisually Impaired AccessibleNoIndoorYesOutdoorNo","Free street parking is available.","dk@dkgallery.us","25 West Park Square
MARIETTA, GA 30060","https://atlantaplanit.wabe.org/wp-content/uploads/2016/10/dkGallery_-_Exterior.jpg"
